epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.9733,1.52389,3.23091,1.21329,0.18511,0.709,0.21914,0.10564,1.62436,inf,1.20999,0.00014202,0.00014202,0.00014202
2,56.3492,1.34205,1.73895,1.12092,0.30904,0.73255,0.47592,0.25852,1.45654,2.74668,1.18557,0.000286436,0.000286436,0.000286436
3,72.6292,1.30947,1.4118,1.08818,0.44019,0.76096,0.58637,0.35721,1.32798,1.56302,1.11813,0.000427936,0.000427936,0.000427936
4,88.9445,1.27649,1.25409,1.0954,0.63583,0.72857,0.74973,0.44217,1.36839,1.17348,1.11207,0.000510378,0.000510378,0.000510378
5,105.558,1.2486,1.07403,1.06911,0.69595,0.77702,0.81523,0.53874,1.27153,0.98169,1.09947,0.00050517,0.00050517,0.00050517
6,121.73,1.31002,1.04462,1.09949,0.81651,0.85284,0.89709,0.53412,1.36027,0.85066,1.10089,0.000499963,0.000499963,0.000499963
7,137.624,1.23108,0.97683,1.06437,0.85782,0.90344,0.91152,0.5691,1.3368,0.78456,1.10781,0.000494756,0.000494756,0.000494756
8,154.039,1.16283,0.84119,1.05384,0.87898,0.86112,0.92276,0.62814,1.23887,0.70125,1.07734,0.000489548,0.000489548,0.000489548
9,170.445,1.16929,0.79254,1.06482,0.84363,0.86586,0.91787,0.61721,1.19369,0.75483,1.05421,0.000484341,0.000484341,0.000484341
10,186.418,1.18566,0.77276,1.07687,0.91687,0.92702,0.95955,0.58881,1.32401,0.66174,1.10849,0.000479133,0.000479133,0.000479133
11,202.351,1.13987,0.73102,1.05424,0.91865,0.93493,0.97656,0.66873,1.20329,0.56704,1.04408,0.000473926,0.000473926,0.000473926
12,218.769,1.14602,0.70775,1.04515,0.95708,0.95671,0.98223,0.70556,1.10469,0.53,1.01698,0.000468719,0.000468719,0.000468719
13,235.215,1.15105,0.67056,1.05365,0.95446,0.95311,0.97833,0.58361,1.41249,0.59531,1.1363,0.000463511,0.000463511,0.000463511
14,251.198,1.15648,0.65894,1.05461,0.96222,0.95699,0.98236,0.64439,1.25792,0.52543,1.08382,0.000458304,0.000458304,0.000458304
15,267.226,1.12831,0.63219,1.03274,0.94854,0.93395,0.97497,0.67234,1.17554,0.50417,1.04924,0.000453096,0.000453096,0.000453096
16,283.55,1.10212,0.61597,1.0439,0.95749,0.95353,0.9848,0.6368,1.28851,0.52258,1.07687,0.000447889,0.000447889,0.000447889
17,299.45,1.08435,0.60464,1.02568,0.96862,0.95054,0.98527,0.62731,1.30497,0.52084,1.07452,0.000442682,0.000442682,0.000442682
18,315.632,1.08392,0.59756,1.02117,0.96322,0.96138,0.98024,0.66389,1.24658,0.47602,1.07392,0.000437474,0.000437474,0.000437474
19,331.707,1.09072,0.57561,1.02504,0.97178,0.96485,0.98252,0.65198,1.29235,0.48527,1.07708,0.000432267,0.000432267,0.000432267
20,348.138,1.08452,0.56011,1.02464,0.96842,0.95291,0.98512,0.66586,1.20911,0.46793,1.06379,0.000427059,0.000427059,0.000427059
21,364.399,1.09631,0.56843,1.04897,0.96645,0.97457,0.98982,0.7084,1.11369,0.43831,1.01823,0.000421852,0.000421852,0.000421852
22,380.574,1.13555,0.58543,1.0377,0.98095,0.96932,0.98796,0.62277,1.32209,0.48845,1.09886,0.000416645,0.000416645,0.000416645
23,396.446,1.11223,0.55417,1.03379,0.98018,0.97392,0.98838,0.6616,1.23843,0.45311,1.05622,0.000411437,0.000411437,0.000411437
24,412.703,1.07646,0.53967,1.01751,0.97882,0.97704,0.98841,0.70258,1.15026,0.42952,1.03415,0.00040623,0.00040623,0.00040623
25,428.802,1.10313,0.54522,1.02962,0.98465,0.98569,0.99157,0.68385,1.19528,0.4359,1.04001,0.000401022,0.000401022,0.000401022
26,444.808,1.06408,0.53803,1.01335,0.98532,0.97871,0.99007,0.68774,1.18468,0.42577,1.04452,0.000395815,0.000395815,0.000395815
27,460.657,1.03033,0.51986,1.00451,0.98496,0.97902,0.9913,0.67705,1.19951,0.42934,1.04744,0.000390608,0.000390608,0.000390608
28,476.86,1.02669,0.51488,1.00059,0.98426,0.97652,0.99014,0.70076,1.14334,0.41132,1.03325,0.0003854,0.0003854,0.0003854
29,493.419,1.02184,0.50912,0.99953,0.98481,0.98212,0.98987,0.70712,1.15532,0.41677,1.02879,0.000380193,0.000380193,0.000380193
30,509.686,1.02711,0.51866,0.99033,0.97103,0.97477,0.98933,0.71378,1.13557,0.42352,1.02491,0.000374985,0.000374985,0.000374985
31,528.273,1.04326,0.51983,1.02,0.983,0.98338,0.99142,0.69869,1.18323,0.41615,1.04304,0.000369778,0.000369778,0.000369778
32,544.52,1.00245,0.49458,0.99431,0.97237,0.98328,0.99077,0.7238,1.10924,0.40541,1.01422,0.000364571,0.000364571,0.000364571
33,561.027,1.00673,0.4918,0.99004,0.97989,0.97464,0.99078,0.69152,1.1996,0.42351,1.05584,0.000359363,0.000359363,0.000359363
34,577.339,1.01454,0.506,1.00314,0.98571,0.97586,0.99176,0.65465,1.28478,0.44583,1.08227,0.000354156,0.000354156,0.000354156
35,593.551,0.99749,0.49436,0.98674,0.97789,0.97869,0.98881,0.65015,1.27661,0.44146,1.06561,0.000348948,0.000348948,0.000348948
36,609.942,1.00537,0.50431,1.00114,0.98151,0.97686,0.99015,0.7364,1.07661,0.3794,1.01199,0.000343741,0.000343741,0.000343741
37,626.275,1.00355,0.5008,0.98909,0.97689,0.9801,0.98903,0.7283,1.07299,0.38834,1.00565,0.000338534,0.000338534,0.000338534
38,642.231,1.00313,0.49337,0.99974,0.98144,0.9857,0.98956,0.70864,1.12059,0.3951,1.02235,0.000333326,0.000333326,0.000333326
39,658.12,0.99818,0.4794,0.98496,0.97901,0.98279,0.99093,0.71621,1.10929,0.39557,1.01754,0.000328119,0.000328119,0.000328119
40,674.208,0.97162,0.46751,0.99355,0.98973,0.9852,0.99289,0.69799,1.17821,0.40359,1.04398,0.000322911,0.000322911,0.000322911
41,690.352,0.99584,0.48437,0.98448,0.97214,0.97228,0.98503,0.60494,1.3799,0.45484,1.11315,0.000317704,0.000317704,0.000317704
42,706.166,1.05786,0.50421,1.00487,0.97788,0.98057,0.988,0.69423,1.15278,0.414,1.03726,0.000312497,0.000312497,0.000312497
43,722.04,1.00078,0.47496,0.98294,0.97372,0.97616,0.98617,0.71318,1.11343,0.38774,1.02388,0.000307289,0.000307289,0.000307289
44,738.275,0.97346,0.44948,0.98023,0.98256,0.98512,0.98949,0.71037,1.1418,0.39304,1.03271,0.000302082,0.000302082,0.000302082
45,754.365,0.95701,0.45987,0.97954,0.9802,0.97655,0.98792,0.72862,1.09273,0.3855,1.01607,0.000296874,0.000296874,0.000296874
46,770.22,0.94869,0.45232,0.97791,0.97577,0.9779,0.99135,0.72351,1.09993,0.38811,1.01211,0.000291667,0.000291667,0.000291667
47,786.204,0.9596,0.45231,0.97198,0.98436,0.9806,0.98961,0.69928,1.1647,0.39043,1.0433,0.00028646,0.00028646,0.00028646
48,802.442,0.95091,0.45594,0.9642,0.98118,0.9807,0.98922,0.65802,1.29098,0.41591,1.08907,0.000281252,0.000281252,0.000281252
49,818.681,0.94862,0.4536,0.97828,0.97911,0.97749,0.98907,0.67326,1.22914,0.40501,1.06244,0.000276045,0.000276045,0.000276045
50,834.633,0.90998,0.43414,0.94525,0.98643,0.98148,0.98986,0.70816,1.13817,0.385,1.03587,0.000270837,0.000270837,0.000270837
51,850.52,0.9116,0.43911,0.9593,0.98522,0.97933,0.98814,0.69902,1.17295,0.38815,1.04475,0.00026563,0.00026563,0.00026563
52,866.484,0.93437,0.44303,0.96522,0.98088,0.98319,0.98706,0.6672,1.23758,0.40403,1.06961,0.000260423,0.000260423,0.000260423
53,882.796,0.96627,0.44724,0.9649,0.98213,0.98168,0.98997,0.69794,1.17968,0.39205,1.04322,0.000255215,0.000255215,0.000255215
54,898.752,0.9049,0.42865,0.95665,0.9835,0.98188,0.98828,0.69464,1.17684,0.39131,1.04394,0.000250008,0.000250008,0.000250008
55,914.775,0.91971,0.43043,0.94339,0.98318,0.98705,0.98906,0.7291,1.09564,0.37308,1.01214,0.0002448,0.0002448,0.0002448
56,930.867,0.89658,0.42637,0.946,0.98608,0.98712,0.99076,0.72895,1.09287,0.3669,1.01594,0.000239593,0.000239593,0.000239593
57,947.156,0.86428,0.4213,0.94283,0.98471,0.9844,0.99181,0.72901,1.10193,0.36846,1.01503,0.000234386,0.000234386,0.000234386
58,963.075,0.8801,0.41807,0.94328,0.97584,0.98186,0.98949,0.72387,1.10634,0.3766,1.02417,0.000229178,0.000229178,0.000229178
59,979.047,0.8908,0.42631,0.95323,0.98149,0.98186,0.98929,0.69972,1.1782,0.39024,1.0478,0.000223971,0.000223971,0.000223971
60,994.861,0.89019,0.43575,0.95582,0.98276,0.98222,0.98719,0.69368,1.18448,0.38804,1.05671,0.000218763,0.000218763,0.000218763
61,1011.15,0.87845,0.42146,0.93764,0.98361,0.98244,0.9894,0.71926,1.13347,0.37717,1.03835,0.000213556,0.000213556,0.000213556
62,1027.2,0.8822,0.41391,0.93377,0.98304,0.97886,0.98773,0.67573,1.22401,0.39925,1.06599,0.000208349,0.000208349,0.000208349
